"title","author","author_url","rating","voters_count","url"
"Foxes","Suki Fleet","https://www.goodreads.com/author/show/7919609.Suki_Fleet","4.4","678","https://goodreads.com/book/show/26238271-foxes"
"Reach for the Moon (Alejo and Bobby, #2)","Val Kovalin","https://www.goodreads.com/author/show/4121444.Val_Kovalin","4.13","55","https://goodreads.com/book/show/13498897-reach-for-the-moon"
"Abandoned (Little Boy Lost, #2)","J.P. Barnaby","https://www.goodreads.com/author/show/3240453.J_P_Barnaby","4.19","634","https://goodreads.com/book/show/11128881-abandoned"
"Asylum (Asylum, #1)","Madeleine Roux","https://www.goodreads.com/author/show/4051426.Madeleine_Roux","3.64","44760","https://goodreads.com/book/show/13597728-asylum"
"The Abyss Surrounds Us (The Abyss Surrounds Us, #1)","Emily Skrutskie","https://www.goodreads.com/author/show/13435165.Emily_Skrutskie","3.93","5215","https://goodreads.com/book/show/24790901-the-abyss-surrounds-us"
"The Summer Prince","Alaya Dawn Johnson","https://www.goodreads.com/author/show/546427.Alaya_Dawn_Johnson","3.59","4523","https://goodreads.com/book/show/13453104-the-summer-prince"
"If You Knew Jack (The Center #2)","M.C. Lee","https://www.goodreads.com/author/show/8298222.M_C_Lee","4.06","50","https://goodreads.com/book/show/23491391-if-you-knew-jack"
"Who is Audrey Wickersham?","Sara Shrieves","https://www.goodreads.com/author/show/6451319.Sara_Shrieves","3.43","113","https://goodreads.com/book/show/15774500-who-is-audrey-wickersham"
"The Soul Healer (Silver Moon Saga, #2)","Melissa Giorgio","https://www.goodreads.com/author/show/7133276.Melissa_Giorgio","4.48","66","https://goodreads.com/book/show/22020691-the-soul-healer"
"Forgive Me If I've Told You This Before","Karelia Stetz-Waters","https://www.goodreads.com/author/show/6905360.Karelia_Stetz_Waters","4.08","702","https://goodreads.com/book/show/21450782-forgive-me-if-i-ve-told-you-this-before"
"Shrapnel","Stephanie Lawton","https://www.goodreads.com/author/show/5601445.Stephanie_Lawton","4.1","51","https://goodreads.com/book/show/16099871-shrapnel"
"For the Win (#lovehim #2.5)","S.M.   James","https://www.goodreads.com/author/show/18141933.S_M_James","4.06","86","https://goodreads.com/book/show/41889405-for-the-win"
"Not Your Villain (Sidekick Squad, #2)","C.B. Lee","https://www.goodreads.com/author/show/11230592.C_B_Lee","3.89","1710","https://goodreads.com/book/show/35018774-not-your-villain"
"Magonia (Magonia, #1)","Maria Dahvana Headley","https://www.goodreads.com/author/show/144323.Maria_Dahvana_Headley","3.55","17298","https://goodreads.com/book/show/21393526-magonia"
"Sakaei: Ghosts","Victoria Ljubisic-Tremblay","https://www.goodreads.com/author/show/16947681.Victoria_Ljubisic_Tremblay","3.13","15","https://goodreads.com/book/show/35503925-sakaei"
"I Was a Teenage Fairy","Francesca Lia Block","https://www.goodreads.com/author/show/9072.Francesca_Lia_Block","3.82","6751","https://goodreads.com/book/show/44325.I_Was_a_Teenage_Fairy"
"Is He or Isn't He?","John          Hall","https://www.goodreads.com/author/show/18196711.John_Hall","3.37","457","https://goodreads.com/book/show/589469.Is_He_or_Isn_t_He_"
"The Stars Are Legion","Kameron Hurley","https://www.goodreads.com/author/show/4369922.Kameron_Hurley","3.65","7569","https://goodreads.com/book/show/29090844-the-stars-are-legion"
"Looking for Alaska","John Green","https://www.goodreads.com/author/show/1406384.John_Green","4.02","1109","https://goodreads.com/book/show/99561.Looking_for_Alaska"
"Lucas e Nicolas","Gabriel Spits","https://www.goodreads.com/author/show/15175064.Gabriel_Spits","3.09","254","https://goodreads.com/book/show/29891044-lucas-e-nicolas"
"Chain Reaction (Perfect Chemistry, #3)","Simone Elkeles","https://www.goodreads.com/author/show/274533.Simone_Elkeles","4.1","59614","https://goodreads.com/book/show/8662836-chain-reaction"
"The Old Arbutus Tree","Leigh  Matthews","https://www.goodreads.com/author/show/7133535.Leigh_Matthews","4.46","13","https://goodreads.com/book/show/18072458-the-old-arbutus-tree"
"Three Truths and a Lie","Brent Hartinger","https://www.goodreads.com/author/show/53984.Brent_Hartinger","3.42","1413","https://goodreads.com/book/show/26927401-three-truths-and-a-lie"
